external_run_id,row_index,run_group_id,run_id,case_name,status,error_message,resolved_config_json
hf_imgcls_000025,0,bc47aaeb-4031-4580-b639-d34dad8dc042,,google_vit-base-patch16-224__beans__finetune_transfer__v0,failed,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),"{""db_path"": ""outputs\\federated.db"", ""num_clients"": 1, ""num_rounds"": 1, ""local_epochs"": 1, ""batch_size"": 16, ""learning_rate"": 0.0001, ""hidden_layers"": [16, 32, 64, 128], ""activation"": ""relu"", ""dropout"": 0.0, ""weight_decay"": 0.001, ""optimizer"": ""rmsprop"", ""distribution_type"": ""iid"", ""distribution_param"": null, ""sample_size"": 30000, ""sample_frac"": 1.0, ""client_dropout_rate"": 0.0, ""task_type"": ""classification"", ""distribution_bins"": 10, ""dataset_args"": null, ""early_stopping_patience"": null, ""client_participation_rate"": 1.0, ""seed"": 42, ""distribution"": ""iid"", ""external_run_id"": ""hf_imgcls_000025"", ""dataset"": ""hf"", ""run_group_id"": ""bc47aaeb-4031-4580-b639-d34dad8dc042"", ""case_name"": ""google_vit-base-patch16-224__beans__finetune_transfer__v0"", ""notes"": ""Generated from registry-defined HF model and dataset compatibility"", ""enabled"": true, ""measure_system_metrics"": true, ""mixed_precision"": false, ""max_samples"": 800, ""num_workers"": 2, ""timeout_s"": 1800, ""momentum"": 0.9, ""save_weights"": true, ""model_type"": ""hf_finetune"", ""hf_task"": ""image_classification"", ""modality"": ""text"", ""dataset_name"": ""beans"", ""hf_model_id"": ""google/vit-base-patch16-224"", ""train_split"": ""train"", ""test_split"": ""validation"", ""label_column"": ""labels"", ""text_column"": ""text"", ""image_column"": ""image"", ""run_regime"": ""finetune_transfer"", ""model_role"": ""task_head"", ""input_schema"": ""single_image"", ""realism_score"": 1, ""domain_alignment"": ""registry_curated"", ""dataset_hint"": ""beans"", ""hf_pipeline_tag"": ""image-classification"", ""hf_author"": ""google"", ""hf_url"": ""https://huggingface.co/google/vit-base-patch16-224"", ""hf_service_meta_json"": ""{\""source\"": \""registry\"", \""registry_task\"": \""image_classification\"", \""run_regime\"": \""finetune_transfer\"", \""audit_json_used\"": false, \""dataset_pairing_source\"": \""registry.dataset_keys\""}""}"
hf_imgcls_000026,1,bc47aaeb-4031-4580-b639-d34dad8dc042,,google_vit-base-patch16-224__beans__inference_only__v0,failed,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),"{""db_path"": ""outputs\\federated.db"", ""num_clients"": 1, ""num_rounds"": 1, ""local_epochs"": 1, ""batch_size"": 4, ""learning_rate"": 0.0001, ""hidden_layers"": [16, 32, 64, 128], ""activation"": ""relu"", ""dropout"": 0.0, ""weight_decay"": 0.05, ""optimizer"": ""adamw"", ""distribution_type"": ""dirichlet"", ""distribution_param"": null, ""sample_size"": 30000, ""sample_frac"": 1.0, ""client_dropout_rate"": 0.0, ""task_type"": ""classification"", ""distribution_bins"": 10, ""dataset_args"": null, ""early_stopping_patience"": null, ""client_participation_rate"": 1.0, ""seed"": 42, ""distribution"": ""dirichlet"", ""external_run_id"": ""hf_imgcls_000026"", ""dataset"": ""hf"", ""run_group_id"": ""bc47aaeb-4031-4580-b639-d34dad8dc042"", ""case_name"": ""google_vit-base-patch16-224__beans__inference_only__v0"", ""notes"": ""Generated from registry-defined HF model and dataset compatibility"", ""enabled"": true, ""measure_system_metrics"": true, ""mixed_precision"": false, ""max_samples"": 800, ""num_workers"": 2, ""timeout_s"": 1800, ""momentum"": 0.0, ""dirichlet_alpha"": 0.1, ""save_weights"": true, ""model_type"": ""hf"", ""hf_task"": ""image_classification"", ""modality"": ""text"", ""dataset_name"": ""beans"", ""hf_model_id"": ""google/vit-base-patch16-224"", ""train_split"": ""train"", ""test_split"": ""validation"", ""label_column"": ""labels"", ""text_column"": ""text"", ""image_column"": ""image"", ""run_regime"": ""inference_only"", ""model_role"": ""service"", ""input_schema"": ""single_image"", ""realism_score"": 1, ""domain_alignment"": ""registry_curated"", ""dataset_hint"": ""beans"", ""hf_pipeline_tag"": ""image-classification"", ""hf_author"": ""google"", ""hf_url"": ""https://huggingface.co/google/vit-base-patch16-224"", ""hf_service_meta_json"": ""{\""source\"": \""registry\"", \""registry_task\"": \""image_classification\"", \""run_regime\"": \""inference_only\"", \""audit_json_used\"": false, \""dataset_pairing_source\"": \""registry.dataset_keys\""}""}"
hf_imgcls_000027,2,bc47aaeb-4031-4580-b639-d34dad8dc042,,apple_mobilevit-small__beans__finetune_transfer__v0,failed,"HF preprocessor output validation failed for task 'image_classification': zero samples detected (split='train', count=0; split='validation', count=0). Expected keys=['pixel_values'].","{""db_path"": ""outputs\\federated.db"", ""num_clients"": 1, ""num_rounds"": 1, ""local_epochs"": 1, ""batch_size"": 4, ""learning_rate"": 0.005, ""hidden_layers"": [16, 32, 64, 128], ""activation"": ""relu"", ""dropout"": 0.0, ""weight_decay"": 0.0, ""optimizer"": ""sgd"", ""distribution_type"": ""dirichlet"", ""distribution_param"": null, ""sample_size"": 30000, ""sample_frac"": 1.0, ""client_dropout_rate"": 0.0, ""task_type"": ""classification"", ""distribution_bins"": 10, ""dataset_args"": null, ""early_stopping_patience"": null, ""client_participation_rate"": 1.0, ""seed"": 42, ""distribution"": ""dirichlet"", ""external_run_id"": ""hf_imgcls_000027"", ""dataset"": ""hf"", ""run_group_id"": ""bc47aaeb-4031-4580-b639-d34dad8dc042"", ""case_name"": ""apple_mobilevit-small__beans__finetune_transfer__v0"", ""notes"": ""Generated from registry-defined HF model and dataset compatibility"", ""enabled"": true, ""measure_system_metrics"": true, ""mixed_precision"": false, ""max_samples"": 800, ""num_workers"": 2, ""timeout_s"": 1800, ""momentum"": 0.0, ""dirichlet_alpha"": 0.1, ""save_weights"": true, ""model_type"": ""hf_finetune"", ""hf_task"": ""image_classification"", ""modality"": ""text"", ""dataset_name"": ""beans"", ""hf_model_id"": ""apple/mobilevit-small"", ""train_split"": ""train"", ""test_split"": ""validation"", ""label_column"": ""labels"", ""text_column"": ""text"", ""image_column"": ""image"", ""run_regime"": ""finetune_transfer"", ""model_role"": ""task_head"", ""input_schema"": ""single_image"", ""realism_score"": 1, ""domain_alignment"": ""registry_curated"", ""dataset_hint"": ""beans"", ""hf_pipeline_tag"": ""image-classification"", ""hf_author"": ""apple"", ""hf_url"": ""https://huggingface.co/apple/mobilevit-small"", ""hf_service_meta_json"": ""{\""source\"": \""registry\"", \""registry_task\"": \""image_classification\"", \""run_regime\"": \""finetune_transfer\"", \""audit_json_used\"": false, \""dataset_pairing_source\"": \""registry.dataset_keys\""}""}"
hf_imgcls_000028,3,bc47aaeb-4031-4580-b639-d34dad8dc042,,apple_mobilevit-small__beans__inference_only__v0,failed,"HF preprocessor output validation failed for task 'image_classification': zero samples detected (split='train', count=0; split='validation', count=0). Expected keys=['pixel_values'].","{""db_path"": ""outputs\\federated.db"", ""num_clients"": 1, ""num_rounds"": 1, ""local_epochs"": 1, ""batch_size"": 8, ""learning_rate"": 0.01, ""hidden_layers"": [16, 32, 64, 128], ""activation"": ""relu"", ""dropout"": 0.0, ""weight_decay"": 0.0, ""optimizer"": ""sgd"", ""distribution_type"": ""dirichlet"", ""distribution_param"": null, ""sample_size"": 30000, ""sample_frac"": 1.0, ""client_dropout_rate"": 0.0, ""task_type"": ""classification"", ""distribution_bins"": 10, ""dataset_args"": null, ""early_stopping_patience"": null, ""client_participation_rate"": 1.0, ""seed"": 42, ""distribution"": ""dirichlet"", ""external_run_id"": ""hf_imgcls_000028"", ""dataset"": ""hf"", ""run_group_id"": ""bc47aaeb-4031-4580-b639-d34dad8dc042"", ""case_name"": ""apple_mobilevit-small__beans__inference_only__v0"", ""notes"": ""Generated from registry-defined HF model and dataset compatibility"", ""enabled"": true, ""measure_system_metrics"": true, ""mixed_precision"": false, ""max_samples"": 800, ""num_workers"": 2, ""timeout_s"": 1800, ""momentum"": 0.9, ""dirichlet_alpha"": 0.1, ""save_weights"": true, ""model_type"": ""hf"", ""hf_task"": ""image_classification"", ""modality"": ""text"", ""dataset_name"": ""beans"", ""hf_model_id"": ""apple/mobilevit-small"", ""train_split"": ""train"", ""test_split"": ""validation"", ""label_column"": ""labels"", ""text_column"": ""text"", ""image_column"": ""image"", ""run_regime"": ""inference_only"", ""model_role"": ""service"", ""input_schema"": ""single_image"", ""realism_score"": 1, ""domain_alignment"": ""registry_curated"", ""dataset_hint"": ""beans"", ""hf_pipeline_tag"": ""image-classification"", ""hf_author"": ""apple"", ""hf_url"": ""https://huggingface.co/apple/mobilevit-small"", ""hf_service_meta_json"": ""{\""source\"": \""registry\"", \""registry_task\"": \""image_classification\"", \""run_regime\"": \""inference_only\"", \""audit_json_used\"": false, \""dataset_pairing_source\"": \""registry.dataset_keys\""}""}"
hf_objdet_000029,4,bc47aaeb-4031-4580-b639-d34dad8dc042,,facebook_detr-resnet-50__coco_detection__finetune_transfer__v0,failed,"HF preprocessor output validation failed for task 'image_detection': zero samples detected (split='train', count=0; split='val', count=0). Expected keys=['pixel_values'].","{""db_path"": ""outputs\\federated.db"", ""num_clients"": 1, ""num_rounds"": 1, ""local_epochs"": 1, ""batch_size"": 16, ""learning_rate"": 0.005, ""hidden_layers"": [16, 32, 64, 128], ""activation"": ""relu"", ""dropout"": 0.0, ""weight_decay"": 0.0, ""optimizer"": ""sgd"", ""distribution_type"": ""iid"", ""distribution_param"": null, ""sample_size"": 30000, ""sample_frac"": 1.0, ""client_dropout_rate"": 0.0, ""task_type"": ""detection"", ""distribution_bins"": 10, ""dataset_args"": null, ""early_stopping_patience"": null, ""client_participation_rate"": 1.0, ""seed"": 42, ""distribution"": ""iid"", ""external_run_id"": ""hf_objdet_000029"", ""dataset"": ""hf"", ""run_group_id"": ""bc47aaeb-4031-4580-b639-d34dad8dc042"", ""case_name"": ""facebook_detr-resnet-50__coco_detection__finetune_transfer__v0"", ""notes"": ""Generated from registry-defined HF model and dataset compatibility"", ""enabled"": true, ""measure_system_metrics"": true, ""mixed_precision"": false, ""max_samples"": 1500, ""num_workers"": 2, ""timeout_s"": 1800, ""momentum"": 0.0, ""save_weights"": true, ""model_type"": ""hf_finetune"", ""hf_task"": ""image_detection"", ""modality"": ""text"", ""dataset_name"": ""detection-datasets/coco"", ""hf_model_id"": ""facebook/detr-resnet-50"", ""train_split"": ""train"", ""test_split"": ""validation"", ""label_column"": ""objects"", ""text_column"": ""text"", ""image_column"": ""image"", ""run_regime"": ""finetune_transfer"", ""model_role"": ""task_head"", ""input_schema"": ""image_with_boxes"", ""realism_score"": 1, ""domain_alignment"": ""registry_curated"", ""dataset_hint"": ""detection-datasets/coco"", ""hf_pipeline_tag"": ""object-detection"", ""hf_author"": ""facebook"", ""hf_url"": ""https://huggingface.co/facebook/detr-resnet-50"", ""hf_service_meta_json"": ""{\""source\"": \""registry\"", \""registry_task\"": \""object_detection\"", \""run_regime\"": \""finetune_transfer\"", \""audit_json_used\"": false, \""dataset_pairing_source\"": \""registry.dataset_keys\""}""}"
hf_objdet_000030,5,bc47aaeb-4031-4580-b639-d34dad8dc042,,facebook_detr-resnet-50__coco_detection__inference_only__v0,failed,"HF preprocessor output validation failed for task 'image_detection': zero samples detected (split='train', count=0; split='val', count=0). Expected keys=['pixel_values'].","{""db_path"": ""outputs\\federated.db"", ""num_clients"": 1, ""num_rounds"": 1, ""local_epochs"": 1, ""batch_size"": 8, ""learning_rate"": 1e-05, ""hidden_layers"": [16, 32, 64, 128], ""activation"": ""relu"", ""dropout"": 0.0, ""weight_decay"": 0.0, ""optimizer"": ""adamw"", ""distribution_type"": ""iid"", ""distribution_param"": null, ""sample_size"": 30000, ""sample_frac"": 1.0, ""client_dropout_rate"": 0.0, ""task_type"": ""detection"", ""distribution_bins"": 10, ""dataset_args"": null, ""early_stopping_patience"": null, ""client_participation_rate"": 1.0, ""seed"": 42, ""distribution"": ""iid"", ""external_run_id"": ""hf_objdet_000030"", ""dataset"": ""hf"", ""run_group_id"": ""bc47aaeb-4031-4580-b639-d34dad8dc042"", ""case_name"": ""facebook_detr-resnet-50__coco_detection__inference_only__v0"", ""notes"": ""Generated from registry-defined HF model and dataset compatibility"", ""enabled"": true, ""measure_system_metrics"": true, ""mixed_precision"": false, ""max_samples"": 1500, ""num_workers"": 2, ""timeout_s"": 1800, ""momentum"": 0.0, ""save_weights"": true, ""model_type"": ""hf"", ""hf_task"": ""image_detection"", ""modality"": ""text"", ""dataset_name"": ""detection-datasets/coco"", ""hf_model_id"": ""facebook/detr-resnet-50"", ""train_split"": ""train"", ""test_split"": ""validation"", ""label_column"": ""objects"", ""text_column"": ""text"", ""image_column"": ""image"", ""run_regime"": ""inference_only"", ""model_role"": ""service"", ""input_schema"": ""image_with_boxes"", ""realism_score"": 1, ""domain_alignment"": ""registry_curated"", ""dataset_hint"": ""detection-datasets/coco"", ""hf_pipeline_tag"": ""object-detection"", ""hf_author"": ""facebook"", ""hf_url"": ""https://huggingface.co/facebook/detr-resnet-50"", ""hf_service_meta_json"": ""{\""source\"": \""registry\"", \""registry_task\"": \""object_detection\"", \""run_regime\"": \""inference_only\"", \""audit_json_used\"": false, \""dataset_pairing_source\"": \""registry.dataset_keys\""}""}"
hf_objdet_000031,6,bc47aaeb-4031-4580-b639-d34dad8dc042,,hustvl_yolos-small__coco_detection__finetune_transfer__v0,failed,"HF preprocessor output validation failed for task 'image_detection': zero samples detected (split='train', count=0; split='val', count=0). Expected keys=['pixel_values'].","{""db_path"": ""outputs\\federated.db"", ""num_clients"": 1, ""num_rounds"": 1, ""local_epochs"": 1, ""batch_size"": 4, ""learning_rate"": 0.001, ""hidden_layers"": [16, 32, 64, 128], ""activation"": ""relu"", ""dropout"": 0.0, ""weight_decay"": 0.001, ""optimizer"": ""rmsprop"", ""distribution_type"": ""dirichlet"", ""distribution_param"": null, ""sample_size"": 30000, ""sample_frac"": 1.0, ""client_dropout_rate"": 0.0, ""task_type"": ""detection"", ""distribution_bins"": 10, ""dataset_args"": null, ""early_stopping_patience"": null, ""client_participation_rate"": 1.0, ""seed"": 42, ""distribution"": ""dirichlet"", ""external_run_id"": ""hf_objdet_000031"", ""dataset"": ""hf"", ""run_group_id"": ""bc47aaeb-4031-4580-b639-d34dad8dc042"", ""case_name"": ""hustvl_yolos-small__coco_detection__finetune_transfer__v0"", ""notes"": ""Generated from registry-defined HF model and dataset compatibility"", ""enabled"": true, ""measure_system_metrics"": true, ""mixed_precision"": false, ""max_samples"": 1500, ""num_workers"": 2, ""timeout_s"": 1800, ""momentum"": 0.9, ""dirichlet_alpha"": 0.3, ""save_weights"": true, ""model_type"": ""hf_finetune"", ""hf_task"": ""image_detection"", ""modality"": ""text"", ""dataset_name"": ""detection-datasets/coco"", ""hf_model_id"": ""hustvl/yolos-small"", ""train_split"": ""train"", ""test_split"": ""validation"", ""label_column"": ""objects"", ""text_column"": ""text"", ""image_column"": ""image"", ""run_regime"": ""finetune_transfer"", ""model_role"": ""task_head"", ""input_schema"": ""image_with_boxes"", ""realism_score"": 1, ""domain_alignment"": ""registry_curated"", ""dataset_hint"": ""detection-datasets/coco"", ""hf_pipeline_tag"": ""object-detection"", ""hf_author"": ""hustvl"", ""hf_url"": ""https://huggingface.co/hustvl/yolos-small"", ""hf_service_meta_json"": ""{\""source\"": \""registry\"", \""registry_task\"": \""object_detection\"", \""run_regime\"": \""finetune_transfer\"", \""audit_json_used\"": false, \""dataset_pairing_source\"": \""registry.dataset_keys\""}""}"
hf_objdet_000032,7,bc47aaeb-4031-4580-b639-d34dad8dc042,,hustvl_yolos-small__coco_detection__inference_only__v0,failed,"HF preprocessor output validation failed for task 'image_detection': zero samples detected (split='train', count=0; split='val', count=0). Expected keys=['pixel_values'].","{""db_path"": ""outputs\\federated.db"", ""num_clients"": 1, ""num_rounds"": 1, ""local_epochs"": 1, ""batch_size"": 4, ""learning_rate"": 0.0005, ""hidden_layers"": [16, 32, 64, 128], ""activation"": ""relu"", ""dropout"": 0.0, ""weight_decay"": 0.0001, ""optimizer"": ""rmsprop"", ""distribution_type"": ""iid"", ""distribution_param"": null, ""sample_size"": 30000, ""sample_frac"": 1.0, ""client_dropout_rate"": 0.0, ""task_type"": ""detection"", ""distribution_bins"": 10, ""dataset_args"": null, ""early_stopping_patience"": null, ""client_participation_rate"": 1.0, ""seed"": 42, ""distribution"": ""iid"", ""external_run_id"": ""hf_objdet_000032"", ""dataset"": ""hf"", ""run_group_id"": ""bc47aaeb-4031-4580-b639-d34dad8dc042"", ""case_name"": ""hustvl_yolos-small__coco_detection__inference_only__v0"", ""notes"": ""Generated from registry-defined HF model and dataset compatibility"", ""enabled"": true, ""measure_system_metrics"": true, ""mixed_precision"": false, ""max_samples"": 1500, ""num_workers"": 2, ""timeout_s"": 1800, ""momentum"": 0.0, ""save_weights"": true, ""model_type"": ""hf"", ""hf_task"": ""image_detection"", ""modality"": ""text"", ""dataset_name"": ""detection-datasets/coco"", ""hf_model_id"": ""hustvl/yolos-small"", ""train_split"": ""train"", ""test_split"": ""validation"", ""label_column"": ""objects"", ""text_column"": ""text"", ""image_column"": ""image"", ""run_regime"": ""inference_only"", ""model_role"": ""service"", ""input_schema"": ""image_with_boxes"", ""realism_score"": 1, ""domain_alignment"": ""registry_curated"", ""dataset_hint"": ""detection-datasets/coco"", ""hf_pipeline_tag"": ""object-detection"", ""hf_author"": ""hustvl"", ""hf_url"": ""https://huggingface.co/hustvl/yolos-small"", ""hf_service_meta_json"": ""{\""source\"": \""registry\"", \""registry_task\"": \""object_detection\"", \""run_regime\"": \""inference_only\"", \""audit_json_used\"": false, \""dataset_pairing_source\"": \""registry.dataset_keys\""}""}"
hf_imgseg_000033,8,bc47aaeb-4031-4580-b639-d34dad8dc042,,nvidia_segformer-b0-finetuned-ade-512-512__scene_parse_150__finetune_transfer__v0,failed,"HF preprocessor output validation failed for task 'image_segmentation': zero samples detected (split='train', count=0; split='validation', count=0). Expected keys=['pixel_values'].","{""db_path"": ""outputs\\federated.db"", ""num_clients"": 1, ""num_rounds"": 1, ""local_epochs"": 1, ""batch_size"": 8, ""learning_rate"": 5e-05, ""hidden_layers"": [16, 32, 64, 128], ""activation"": ""relu"", ""dropout"": 0.0, ""weight_decay"": 0.01, ""optimizer"": ""adamw"", ""distribution_type"": ""iid"", ""distribution_param"": null, ""sample_size"": 30000, ""sample_frac"": 1.0, ""client_dropout_rate"": 0.0, ""task_type"": ""segmentation"", ""distribution_bins"": 10, ""dataset_args"": null, ""early_stopping_patience"": null, ""client_participation_rate"": 1.0, ""seed"": 42, ""distribution"": ""iid"", ""external_run_id"": ""hf_imgseg_000033"", ""dataset"": ""hf"", ""run_group_id"": ""bc47aaeb-4031-4580-b639-d34dad8dc042"", ""case_name"": ""nvidia_segformer-b0-finetuned-ade-512-512__scene_parse_150__finetune_transfer__v0"", ""notes"": ""Generated from registry-defined HF model and dataset compatibility"", ""enabled"": true, ""measure_system_metrics"": true, ""mixed_precision"": false, ""max_samples"": 1200, ""num_workers"": 2, ""timeout_s"": 1800, ""momentum"": 0.0, ""save_weights"": true, ""model_type"": ""hf_finetune"", ""hf_task"": ""image_segmentation"", ""modality"": ""text"", ""dataset_name"": ""zhoubolei/scene_parse_150"", ""hf_model_id"": ""nvidia/segformer-b0-finetuned-ade-512-512"", ""train_split"": ""train"", ""test_split"": ""validation"", ""label_column"": ""annotation"", ""text_column"": ""text"", ""image_column"": ""image"", ""run_regime"": ""finetune_transfer"", ""model_role"": ""task_head"", ""input_schema"": ""image_mask_pair"", ""realism_score"": 1, ""domain_alignment"": ""registry_curated"", ""dataset_hint"": ""zhoubolei/scene_parse_150"", ""hf_pipeline_tag"": ""image-segmentation"", ""hf_author"": ""nvidia"", ""hf_url"": ""https://huggingface.co/nvidia/segformer-b0-finetuned-ade-512-512"", ""hf_service_meta_json"": ""{\""source\"": \""registry\"", \""registry_task\"": \""image_segmentation\"", \""run_regime\"": \""finetune_transfer\"", \""audit_json_used\"": false, \""dataset_pairing_source\"": \""registry.dataset_keys\""}""}"
hf_imgseg_000034,9,bc47aaeb-4031-4580-b639-d34dad8dc042,,nvidia_segformer-b0-finetuned-ade-512-512__scene_parse_150__inference_only__v0,failed,"HF preprocessor output validation failed for task 'image_segmentation': zero samples detected (split='train', count=0; split='validation', count=0). Expected keys=['pixel_values'].","{""db_path"": ""outputs\\federated.db"", ""num_clients"": 1, ""num_rounds"": 1, ""local_epochs"": 1, ""batch_size"": 4, ""learning_rate"": 1e-05, ""hidden_layers"": [16, 32, 64, 128], ""activation"": ""relu"", ""dropout"": 0.0, ""weight_decay"": 0.05, ""optimizer"": ""adamw"", ""distribution_type"": ""dirichlet"", ""distribution_param"": null, ""sample_size"": 30000, ""sample_frac"": 1.0, ""client_dropout_rate"": 0.0, ""task_type"": ""segmentation"", ""distribution_bins"": 10, ""dataset_args"": null, ""early_stopping_patience"": null, ""client_participation_rate"": 1.0, ""seed"": 42, ""distribution"": ""dirichlet"", ""external_run_id"": ""hf_imgseg_000034"", ""dataset"": ""hf"", ""run_group_id"": ""bc47aaeb-4031-4580-b639-d34dad8dc042"", ""case_name"": ""nvidia_segformer-b0-finetuned-ade-512-512__scene_parse_150__inference_only__v0"", ""notes"": ""Generated from registry-defined HF model and dataset compatibility"", ""enabled"": true, ""measure_system_metrics"": true, ""mixed_precision"": false, ""max_samples"": 1200, ""num_workers"": 2, ""timeout_s"": 1800, ""momentum"": 0.0, ""dirichlet_alpha"": 0.3, ""save_weights"": true, ""model_type"": ""hf"", ""hf_task"": ""image_segmentation"", ""modality"": ""text"", ""dataset_name"": ""zhoubolei/scene_parse_150"", ""hf_model_id"": ""nvidia/segformer-b0-finetuned-ade-512-512"", ""train_split"": ""train"", ""test_split"": ""validation"", ""label_column"": ""annotation"", ""text_column"": ""text"", ""image_column"": ""image"", ""run_regime"": ""inference_only"", ""model_role"": ""service"", ""input_schema"": ""image_mask_pair"", ""realism_score"": 1, ""domain_alignment"": ""registry_curated"", ""dataset_hint"": ""zhoubolei/scene_parse_150"", ""hf_pipeline_tag"": ""image-segmentation"", ""hf_author"": ""nvidia"", ""hf_url"": ""https://huggingface.co/nvidia/segformer-b0-finetuned-ade-512-512"", ""hf_service_meta_json"": ""{\""source\"": \""registry\"", \""registry_task\"": \""image_segmentation\"", \""run_regime\"": \""inference_only\"", \""audit_json_used\"": false, \""dataset_pairing_source\"": \""registry.dataset_keys\""}""}"
hf_imgseg_000035,10,bc47aaeb-4031-4580-b639-d34dad8dc042,,nvidia_segformer-b2-finetuned-ade-512-512__scene_parse_150__inference_only__v0,failed,"HF preprocessor output validation failed for task 'image_segmentation': zero samples detected (split='train', count=0; split='validation', count=0). Expected keys=['pixel_values'].","{""db_path"": ""outputs\\federated.db"", ""num_clients"": 1, ""num_rounds"": 1, ""local_epochs"": 1, ""batch_size"": 4, ""learning_rate"": 0.0001, ""hidden_layers"": [16, 32, 64, 128], ""activation"": ""relu"", ""dropout"": 0.0, ""weight_decay"": 0.05, ""optimizer"": ""adamw"", ""distribution_type"": ""iid"", ""distribution_param"": null, ""sample_size"": 30000, ""sample_frac"": 1.0, ""client_dropout_rate"": 0.0, ""task_type"": ""segmentation"", ""distribution_bins"": 10, ""dataset_args"": null, ""early_stopping_patience"": null, ""client_participation_rate"": 1.0, ""seed"": 42, ""distribution"": ""iid"", ""external_run_id"": ""hf_imgseg_000035"", ""dataset"": ""hf"", ""run_group_id"": ""bc47aaeb-4031-4580-b639-d34dad8dc042"", ""case_name"": ""nvidia_segformer-b2-finetuned-ade-512-512__scene_parse_150__inference_only__v0"", ""notes"": ""Generated from registry-defined HF model and dataset compatibility"", ""enabled"": true, ""measure_system_metrics"": true, ""mixed_precision"": false, ""max_samples"": 1200, ""num_workers"": 2, ""timeout_s"": 1800, ""momentum"": 0.0, ""save_weights"": true, ""model_type"": ""hf"", ""hf_task"": ""image_segmentation"", ""modality"": ""text"", ""dataset_name"": ""zhoubolei/scene_parse_150"", ""hf_model_id"": ""nvidia/segformer-b2-finetuned-ade-512-512"", ""train_split"": ""train"", ""test_split"": ""validation"", ""label_column"": ""annotation"", ""text_column"": ""text"", ""image_column"": ""image"", ""run_regime"": ""inference_only"", ""model_role"": ""service"", ""input_schema"": ""image_mask_pair"", ""realism_score"": 1, ""domain_alignment"": ""registry_curated"", ""dataset_hint"": ""zhoubolei/scene_parse_150"", ""hf_pipeline_tag"": ""image-segmentation"", ""hf_author"": ""nvidia"", ""hf_url"": ""https://huggingface.co/nvidia/segformer-b2-finetuned-ade-512-512"", ""hf_service_meta_json"": ""{\""source\"": \""registry\"", \""registry_task\"": \""image_segmentation\"", \""run_regime\"": \""inference_only\"", \""audit_json_used\"": false, \""dataset_pairing_source\"": \""registry.dataset_keys\""}""}"
hf_imgcap_000036,11,bc47aaeb-4031-4580-b639-d34dad8dc042,,Salesforce_blip-image-captioning-base__flickr8k_captioning__inference_only__v0,failed,"HF preprocessor output validation failed for task 'image_captioning': zero samples detected (split='train', count=0; split='train_test_split', count=0). Expected keys=['attention_mask', 'input_ids', 'pixel_values'].","{""db_path"": ""outputs\\federated.db"", ""num_clients"": 1, ""num_rounds"": 1, ""local_epochs"": 1, ""batch_size"": 8, ""learning_rate"": 0.0001, ""hidden_layers"": [16, 32, 64, 128], ""activation"": ""relu"", ""dropout"": 0.0, ""weight_decay"": 0.0001, ""optimizer"": ""rmsprop"", ""distribution_type"": ""dirichlet"", ""distribution_param"": null, ""sample_size"": 30000, ""sample_frac"": 1.0, ""client_dropout_rate"": 0.0, ""task_type"": ""generation"", ""distribution_bins"": 10, ""dataset_args"": null, ""early_stopping_patience"": null, ""client_participation_rate"": 1.0, ""seed"": 42, ""distribution"": ""dirichlet"", ""external_run_id"": ""hf_imgcap_000036"", ""dataset"": ""hf"", ""run_group_id"": ""bc47aaeb-4031-4580-b639-d34dad8dc042"", ""case_name"": ""Salesforce_blip-image-captioning-base__flickr8k_captioning__inference_only__v0"", ""notes"": ""Generated from registry-defined HF model and dataset compatibility"", ""enabled"": true, ""measure_system_metrics"": true, ""mixed_precision"": false, ""max_samples"": 4000, ""max_length"": 64, ""num_workers"": 2, ""timeout_s"": 1800, ""momentum"": 0.0, ""dirichlet_alpha"": 0.3, ""save_weights"": true, ""model_type"": ""hf"", ""hf_task"": ""image_captioning"", ""modality"": ""text"", ""dataset_name"": ""jxie/flickr8k"", ""hf_model_id"": ""Salesforce/blip-image-captioning-base"", ""train_split"": ""train"", ""test_split"": ""test"", ""label_column"": ""caption"", ""text_column"": ""caption"", ""image_column"": ""image"", ""task_tag"": ""captioning"", ""run_regime"": ""inference_only"", ""model_role"": ""service"", ""input_schema"": ""image_text_pair"", ""realism_score"": 1, ""domain_alignment"": ""registry_curated"", ""dataset_hint"": ""jxie/flickr8k"", ""hf_pipeline_tag"": ""image-to-text"", ""hf_author"": ""Salesforce"", ""hf_url"": ""https://huggingface.co/Salesforce/blip-image-captioning-base"", ""hf_service_meta_json"": ""{\""source\"": \""registry\"", \""registry_task\"": \""image_captioning\"", \""run_regime\"": \""inference_only\"", \""audit_json_used\"": false, \""dataset_pairing_source\"": \""registry.dataset_keys\""}""}"
